	n	p
group135	7.0	0.863022359174169
group136	0.0	0.9996270510218255
group137	0.0	0.9996270510218255
group138	0.0	0.9996270510218255
group139	0.0	0.9996270510218255
group140	1.0	0.9977045253033445
group141	0.0	0.9996270510218255
group142	0.0	0.9996270510218255
group143	0.0	0.9996270510218255
group144	0.0	0.9996270510218255
group145	2.0	0.9923878157469086
group146	0.0	0.9996270510218255
group147	1.0	0.9977045253033445
group148	3.0	0.9816039147469156
group149	0.0	0.9996270510218255
group150	0.0	0.9996270510218255
group151	0.0	0.9996270510218255
group152	1.0	0.9977045253033445
group153	0.0	0.9996270510218255
group154	0.0	0.9996270510218255
group155	2.0	0.9923878157469086
group156	0.0	0.9996270510218255
group157	0.0	0.9996270510218255
group158	1.0	0.9977045253033445
group159	0.0	0.9996270510218255
group160	1.0	0.9977045253033445
group161	0.0	0.9996270510218255
group162	0.0	0.9996270510218255
group163	0.0	0.9996270510218255
group164	0.0	0.9996270510218255
group165	0.0	0.9996270510218255
group166	0.0	0.9996270510218255
group167	6.0	0.9037650928930426
group168	0.0	0.9996270510218255
group169	0.0	0.9996270510218255
group170	0.0	0.9996270510218255
group171	0.0	0.9996270510218255
group172	0.0	0.9996270510218255
group173	0.0	0.9996270510218255
group174	2.0	0.9923878157469086
group175	2.0	0.9923878157469086
group176	13.0	0.5614824000936055
group177	2.0	0.9923878157469086
group178	0.0	0.9996270510218255
group179	4.0	0.9636385976372321
group180	0.0	0.9996270510218255
group181	0.0	0.9996270510218255
group182	0.0	0.9996270510218255
group183	0.0	0.9996270510218255
group184	5.0	0.9376373728504575
group185	0.0	0.9996270510218255
group186	0.0	0.9996270510218255
group187	0.0	0.9996270510218255
group188	0.0	0.9996270510218255
group189	1.0	0.9977045253033445
group190	0.0	0.9996270510218255
group191	2.0	0.9923878157469086
group192	2.0	0.9923878157469086
group193	1.0	0.9977045253033445
group194	0.0	0.9996270510218255
group195	0.0	0.9996270510218255
group196	2.0	0.9923878157469086
group197	0.0	0.9996270510218255
group198	0.0	0.9996270510218255
group199	0.0	0.9996270510218255
group200	0.0	0.9996270510218255
group201	8.0	0.8169246331035801
group202	1.0	0.9977045253033445
group203	0.0	0.9996270510218255
group204	0.0	0.9996270510218255
group205	0.0	0.9996270510218255
group206	0.0	0.9996270510218255
group207	0.0	0.9996270510218255
group208	8.0	0.8169246331035801
group209	0.0	0.9996270510218255
group210	0.0	0.9996270510218255
group211	3.0	0.9816039147469156
group212	0.0	0.9996270510218255
group213	0.0	0.9996270510218255
group214	0.0	0.9996270510218255
group215	0.0	0.9996270510218255
group216	7.0	0.863022359174169
group217	0.0	0.9996270510218255
group218	0.0	0.9996270510218255
group219	3.0	0.9816039147469156
group220	0.0	0.9996270510218255
group221	2.0	0.9923878157469086
group222	0.0	0.9996270510218255
group223	0.0	0.9996270510218255
group224	1.0	0.9977045253033445
group225	14.0	0.5128735258728038
group226	1.0	0.9977045253033445
group227	0.0	0.9996270510218255
group228	0.0	0.9996270510218255
group229	0.0	0.9996270510218255
group230	0.0	0.9996270510218255
group231	3.0	0.9816039147469156
group232	0.0	0.9996270510218255
group233	3.0	0.9816039147469156
group234	6.0	0.9037650928930426
group235	6.0	0.9037650928930426
group236	0.0	0.9996270510218255
group237	0.0	0.9996270510218255
group238	1.0	0.9977045253033445
group239	0.0	0.9996270510218255
group240	0.0	0.9996270510218255
group241	4.0	0.9636385976372321
group242	0.0	0.9996270510218255
group243	0.0	0.9996270510218255
group244	0.0	0.9996270510218255
group245	0.0	0.9996270510218255
group246	0.0	0.9996270510218255
group247	0.0	0.9996270510218255
group248	0.0	0.9996270510218255
group249	0.0	0.9996270510218255
group250	1.0	0.9977045253033445
group251	0.0	0.9996270510218255
group252	0.0	0.9996270510218255
group253	1.0	0.9977045253033445
group254	0.0	0.9996270510218255
group255	3.0	0.9816039147469156
group256	0.0	0.9996270510218255
group257	0.0	0.9996270510218255
group258	0.0	0.9996270510218255
group259	0.0	0.9996270510218255
group260	0.0	0.9996270510218255
group261	1.0	0.9977045253033445
group262	6.0	0.9037650928930426
group263	2.0	0.9923878157469086
group264	0.0	0.9996270510218255
group265	2.0	0.9923878157469086
group266	0.0	0.9996270510218255
group267	0.0	0.9996270510218255
group268	5.0	0.9376373728504575
group269	0.0	0.9996270510218255
group270	0.0	0.9996270510218255
group271	3.0	0.9816039147469156
group272	1.0	0.9977045253033445
group273	1.0	0.9977045253033445
group274	0.0	0.9996270510218255
group275	0.0	0.9996270510218255
group276	0.0	0.9996270510218255
group277	0.0	0.9996270510218255
group278	0.0	0.9996270510218255
group279	3.0	0.9816039147469156
group280	0.0	0.9996270510218255
group281	0.0	0.9996270510218255
group282	1.0	0.9977045253033445
group283	3.0	0.9816039147469156
group284	0.0	0.9996270510218255
group285	2.0	0.9923878157469086
group286	0.0	0.9996270510218255
group287	0.0	0.9996270510218255
group288	0.0	0.9996270510218255
group289	0.0	0.9996270510218255
group290	0.0	0.9996270510218255
group291	1.0	0.9977045253033445
group292	2.0	0.9923878157469086
group293	1.0	0.9977045253033445
group294	0.0	0.9996270510218255
group295	0.0	0.9996270510218255
group296	0.0	0.9996270510218255
group297	3.0	0.9816039147469156
group298	0.0	0.9996270510218255
group299	0.0	0.9996270510218255
group300	1.0	0.9977045253033445
group301	1.0	0.9977045253033445
group302	0.0	0.9996270510218255
group303	0.0	0.9996270510218255
group304	0.0	0.9996270510218255
group305	0.0	0.9996270510218255
group306	0.0	0.9996270510218255
group307	0.0	0.9996270510218255
group308	12.0	0.6118171600800579
group309	0.0	0.9996270510218255
group310	0.0	0.9996270510218255
group311	0.0	0.9996270510218255
group312	1.0	0.9977045253033445
group313	0.0	0.9996270510218255
group314	0.0	0.9996270510218255
group315	2.0	0.9923878157469086
group316	0.0	0.9996270510218255
group317	0.0	0.9996270510218255
group318	0.0	0.9996270510218255
group319	0.0	0.9996270510218255
group320	4.0	0.9636385976372321
group321	0.0	0.9996270510218255
group322	1.0	0.9977045253033445
group323	2.0	0.9923878157469086
group324	0.0	0.9996270510218255
group325	0.0	0.9996270510218255
group326	0.0	0.9996270510218255
group327	0.0	0.9996270510218255
group328	0.0	0.9996270510218255
group329	0.0	0.9996270510218255
group330	0.0	0.9996270510218255
group331	0.0	0.9996270510218255
group332	0.0	0.9996270510218255
group333	0.0	0.9996270510218255
group334	0.0	0.9996270510218255
group335	0.0	0.9996270510218255
group336	0.0	0.9996270510218255
group337	0.0	0.9996270510218255
group338	2.0	0.9923878157469086
group339	0.0	0.9996270510218255
group340	0.0	0.9996270510218255
group341	4.0	0.9636385976372321
group342	3.0	0.9816039147469156
group343	0.0	0.9996270510218255
group344	0.0	0.9996270510218255
group345	2.0	0.9923878157469086
group346	0.0	0.9996270510218255
group347	0.0	0.9996270510218255
group348	0.0	0.9996270510218255
group349	0.0	0.9996270510218255
group350	3.0	0.9816039147469156
group351	2.0	0.9923878157469086
group352	0.0	0.9996270510218255
group353	1.0	0.9977045253033445
group354	0.0	0.9996270510218255
group355	0.0	0.9996270510218255
group356	0.0	0.9996270510218255
group357	0.0	0.9996270510218255
group358	0.0	0.9996270510218255
group359	0.0	0.9996270510218255
group360	3.0	0.9816039147469156
group361	0.0	0.9996270510218255
group362	0.0	0.9996270510218255
group363	0.0	0.9996270510218255
group364	0.0	0.9996270510218255
group365	0.0	0.9996270510218255
group366	0.0	0.9996270510218255
group367	4.0	0.9636385976372321
group368	0.0	0.9996270510218255
group369	0.0	0.9996270510218255
group370	4.0	0.9636385976372321
group371	0.0	0.9996270510218255
group372	0.0	0.9996270510218255
group373	0.0	0.9996270510218255
group374	0.0	0.9996270510218255
group375	1.0	0.9977045253033445
group376	0.0	0.9996270510218255
group377	0.0	0.9996270510218255
group378	0.0	0.9996270510218255
group379	0.0	0.9996270510218255
group380	2.0	0.9923878157469086
group381	0.0	0.9996270510218255
group382	0.0	0.9996270510218255
group383	0.0	0.9996270510218255
group384	0.0	0.9996270510218255
group385	0.0	0.9996270510218255
group386	0.0	0.9996270510218255
group387	0.0	0.9996270510218255
group388	7.0	0.863022359174169
group389	11.0	0.6634261810364657
group390	0.0	0.9996270510218255
group391	0.0	0.9996270510218255
group392	0.0	0.9996270510218255
group393	0.0	0.9996270510218255
group394	0.0	0.9996270510218255
group395	0.0	0.9996270510218255
group396	2.0	0.9923878157469086
group397	8.0	0.8169246331035801
group398	2.0	0.9923878157469086
group399	0.0	0.9996270510218255
group400	0.0	0.9996270510218255
group401	0.0	0.9996270510218255
group402	1.0	0.9977045253033445
group403	2.0	0.9923878157469086
group404	0.0	0.9996270510218255
group405	0.0	0.9996270510218255
group406	0.0	0.9996270510218255
group407	1.0	0.9977045253033445
group408	0.0	0.9996270510218255
group409	0.0	0.9996270510218255
group410	0.0	0.9996270510218255
group411	0.0	0.9996270510218255
group412	0.0	0.9996270510218255
group413	0.0	0.9996270510218255
group414	0.0	0.9996270510218255
group415	0.0	0.9996270510218255
group416	0.0	0.9996270510218255
group417	0.0	0.9996270510218255
group418	2.0	0.9923878157469086
group419	0.0	0.9996270510218255
group420	0.0	0.9996270510218255
group421	0.0	0.9996270510218255
group422	8.0	0.8169246331035801
group423	0.0	0.9996270510218255
group424	1.0	0.9977045253033445
group425	14.0	0.5128735258728038
group426	0.0	0.9996270510218255
group427	0.0	0.9996270510218255
group428	20.0	0.2692854542233194
group429	0.0	0.9996270510218255
group430	0.0	0.9996270510218255
group431	0.0	0.9996270510218255
group432	0.0	0.9996270510218255
group433	0.0	0.9996270510218255
group434	0.0	0.9996270510218255
group435	7.0	0.863022359174169
group436	1.0	0.9977045253033445
group437	0.0	0.9996270510218255
group438	0.0	0.9996270510218255
group439	0.0	0.9996270510218255
group440	0.0	0.9996270510218255
group441	0.0	0.9996270510218255
group442	0.0	0.9996270510218255
group443	0.0	0.9996270510218255
group444	0.0	0.9996270510218255
group445	3.0	0.9816039147469156
group446	10.0	0.7155810135901454
group447	0.0	0.9996270510218255
group448	0.0	0.9996270510218255
group449	3.0	0.9816039147469156
group450	0.0	0.9996270510218255
group451	0.0	0.9996270510218255
group452	1.0	0.9977045253033445
group453	0.0	0.9996270510218255
group454	0.0	0.9996270510218255
group455	0.0	0.9996270510218255
group456	0.0	0.9996270510218255
group457	0.0	0.9996270510218255
group458	0.0	0.9996270510218255
group459	0.0	0.9996270510218255
group460	2.0	0.9923878157469086
group461	0.0	0.9996270510218255
group462	0.0	0.9996270510218255
group463	0.0	0.9996270510218255
group464	0.0	0.9996270510218255
group465	0.0	0.9996270510218255
group466	0.0	0.9996270510218255
group467	1.0	0.9977045253033445
group468	2.0	0.9923878157469086
group469	2.0	0.9923878157469086
group470	0.0	0.9996270510218255
group471	0.0	0.9996270510218255
group472	0.0	0.9996270510218255
group473	0.0	0.9996270510218255
group474	0.0	0.9996270510218255
group475	0.0	0.9996270510218255
group476	0.0	0.9996270510218255
group477	0.0	0.9996270510218255
group478	0.0	0.9996270510218255
group479	1.0	0.9977045253033445
group480	0.0	0.9996270510218255
group481	0.0	0.9996270510218255
group482	0.0	0.9996270510218255
group483	0.0	0.9996270510218255
group484	0.0	0.9996270510218255
group485	0.0	0.9996270510218255
group486	0.0	0.9996270510218255
group487	1.0	0.9977045253033445
group488	0.0	0.9996270510218255
group489	0.0	0.9996270510218255
group490	0.0	0.9996270510218255
group491	0.0	0.9996270510218255
group492	0.0	0.9996270510218255
group493	0.0	0.9996270510218255
group494	0.0	0.9996270510218255
group495	0.0	0.9996270510218255
group496	0.0	0.9996270510218255
group497	0.0	0.9996270510218255
group498	11.0	0.6634261810364657
group499	12.0	0.6118171600800579
group500	0.0	0.9996270510218255
group501	0.0	0.9996270510218255
group502	0.0	0.9996270510218255
group503	0.0	0.9996270510218255
group504	5.0	0.9376373728504575
group505	0.0	0.9996270510218255
group506	0.0	0.9996270510218255
group507	8.0	0.8169246331035801
group508	1.0	0.9977045253033445
group509	0.0	0.9996270510218255
group510	0.0	0.9996270510218255
group511	1.0	0.9977045253033445
group512	5.0	0.9376373728504575
group513	2.0	0.9923878157469086
group514	0.0	0.9996270510218255
group515	13.0	0.5614824000936055
group516	0.0	0.9996270510218255
group517	0.0	0.9996270510218255
group518	0.0	0.9996270510218255
group519	11.0	0.6634261810364657
group520	0.0	0.9996270510218255
group521	0.0	0.9996270510218255
group522	0.0	0.9996270510218255
group523	0.0	0.9996270510218255
group524	0.0	0.9996270510218255
group525	0.0	0.9996270510218255
group526	0.0	0.9996270510218255
group527	0.0	0.9996270510218255
group528	1.0	0.9977045253033445
group529	0.0	0.9996270510218255
group530	3.0	0.9816039147469156
group531	0.0	0.9996270510218255
group532	9.0	0.7672173131135352
group533	0.0	0.9996270510218255
group534	1.0	0.9977045253033445
group535	0.0	0.9996270510218255
group536	6.0	0.9037650928930426
group537	0.0	0.9996270510218255
group538	0.0	0.9996270510218255
group539	0.0	0.9996270510218255
group540	0.0	0.9996270510218255
group541	0.0	0.9996270510218255
group542	5.0	0.9376373728504575
group543	0.0	0.9996270510218255
group544	1.0	0.9977045253033445
group545	0.0	0.9996270510218255
group546	1.0	0.9977045253033445
group547	5.0	0.9376373728504575
group548	0.0	0.9996270510218255
group549	1.0	0.9977045253033445
group550	0.0	0.9996270510218255
group551	4.0	0.9636385976372321
group552	0.0	0.9996270510218255
group553	0.0	0.9996270510218255
group554	0.0	0.9996270510218255
group555	1.0	0.9977045253033445
group556	0.0	0.9996270510218255
group557	0.0	0.9996270510218255
group558	0.0	0.9996270510218255
group559	0.0	0.9996270510218255
group560	0.0	0.9996270510218255
group561	1.0	0.9977045253033445
group562	0.0	0.9996270510218255
group563	0.0	0.9996270510218255
group564	0.0	0.9996270510218255
group565	0.0	0.9996270510218255
group566	0.0	0.9996270510218255
group567	4.0	0.9636385976372321
group568	1.0	0.9977045253033445
group569	1.0	0.9977045253033445
group570	0.0	0.9996270510218255
group571	0.0	0.9996270510218255
group572	0.0	0.9996270510218255
group573	1.0	0.9977045253033445
group574	0.0	0.9996270510218255
group575	0.0	0.9996270510218255
group576	4.0	0.9636385976372321
group577	1.0	0.9977045253033445
group578	0.0	0.9996270510218255
group579	13.0	0.5614824000936055
group580	2.0	0.9923878157469086
group581	0.0	0.9996270510218255
group582	0.0	0.9996270510218255
group583	0.0	0.9996270510218255
group584	0.0	0.9996270510218255
group585	0.0	0.9996270510218255
group586	3.0	0.9816039147469156
group587	0.0	0.9996270510218255
group588	2.0	0.9923878157469086
group589	0.0	0.9996270510218255
group590	0.0	0.9996270510218255
group591	3.0	0.9816039147469156
group592	0.0	0.9996270510218255
group593	0.0	0.9996270510218255
group594	7.0	0.863022359174169
group595	0.0	0.9996270510218255
group596	0.0	0.9996270510218255
group597	0.0	0.9996270510218255
group598	0.0	0.9996270510218255
group599	0.0	0.9996270510218255
group600	2.0	0.9923878157469086
group601	0.0	0.9996270510218255
group602	0.0	0.9996270510218255
group603	0.0	0.9996270510218255
group604	0.0	0.9996270510218255
group605	1.0	0.9977045253033445
group606	0.0	0.9996270510218255
group607	0.0	0.9996270510218255
group608	1.0	0.9977045253033445
group609	0.0	0.9996270510218255
group610	0.0	0.9996270510218255
group611	3.0	0.9816039147469156
group612	5.0	0.9376373728504575
group613	19.0	0.30347126362795246
group614	0.0	0.9996270510218255
group615	0.0	0.9996270510218255
group616	0.0	0.9996270510218255
group617	0.0	0.9996270510218255
group618	0.0	0.9996270510218255
group619	0.0	0.9996270510218255
group620	0.0	0.9996270510218255
group621	5.0	0.9376373728504575
group622	8.0	0.8169246331035801
group623	0.0	0.9996270510218255
group624	0.0	0.9996270510218255
group625	0.0	0.9996270510218255
group626	0.0	0.9996270510218255
group627	0.0	0.9996270510218255
group628	3.0	0.9816039147469156
group629	0.0	0.9996270510218255
group630	7.0	0.863022359174169
group631	2.0	0.9923878157469086
group632	2.0	0.9923878157469086
group633	0.0	0.9996270510218255
group634	0.0	0.9996270510218255
group635	1.0	0.9977045253033445
group636	0.0	0.9996270510218255
group637	0.0	0.9996270510218255
group638	0.0	0.9996270510218255
group639	0.0	0.9996270510218255
group640	1.0	0.9977045253033445
group641	0.0	0.9996270510218255
group642	15.0	0.4662661664479185
group643	0.0	0.9996270510218255
group644	2.0	0.9923878157469086
group645	0.0	0.9996270510218255
group646	0.0	0.9996270510218255
group647	5.0	0.9376373728504575
group648	0.0	0.9996270510218255
group649	1.0	0.9977045253033445
group650	0.0	0.9996270510218255
group651	0.0	0.9996270510218255
group652	3.0	0.9816039147469156
group653	0.0	0.9996270510218255
group654	6.0	0.9037650928930426
group655	0.0	0.9996270510218255
group656	0.0	0.9996270510218255
group657	0.0	0.9996270510218255
group658	0.0	0.9996270510218255
group659	7.0	0.863022359174169
group660	0.0	0.9996270510218255
group661	0.0	0.9996270510218255
group662	1.0	0.9977045253033445
group663	0.0	0.9996270510218255
group664	0.0	0.9996270510218255
group665	2.0	0.9923878157469086
group666	0.0	0.9996270510218255
group667	1.0	0.9977045253033445
group668	1.0	0.9977045253033445
group669	0.0	0.9996270510218255
group670	0.0	0.9996270510218255
group671	0.0	0.9996270510218255
group672	0.0	0.9996270510218255
group673	0.0	0.9996270510218255
group674	0.0	0.9996270510218255
group675	0.0	0.9996270510218255
group676	0.0	0.9996270510218255
group677	0.0	0.9996270510218255
group678	0.0	0.9996270510218255
group679	0.0	0.9996270510218255
group680	0.0	0.9996270510218255
group681	0.0	0.9996270510218255
group682	0.0	0.9996270510218255
group683	1.0	0.9977045253033445
group684	0.0	0.9996270510218255
group685	0.0	0.9996270510218255
group686	4.0	0.9636385976372321
group687	1.0	0.9977045253033445
group688	0.0	0.9996270510218255
group689	0.0	0.9996270510218255
group690	0.0	0.9996270510218255
group691	1.0	0.9977045253033445
group692	0.0	0.9996270510218255
group693	0.0	0.9996270510218255
group694	5.0	0.9376373728504575
group695	0.0	0.9996270510218255
group696	1.0	0.9977045253033445
group697	0.0	0.9996270510218255
group698	0.0	0.9996270510218255
group699	0.0	0.9996270510218255
group700	2.0	0.9923878157469086
group701	0.0	0.9996270510218255
group702	1.0	0.9977045253033445
group703	0.0	0.9996270510218255
group704	0.0	0.9996270510218255
group705	0.0	0.9996270510218255
group706	0.0	0.9996270510218255
group707	0.0	0.9996270510218255
group708	0.0	0.9996270510218255
group709	0.0	0.9996270510218255
group710	0.0	0.9996270510218255
group711	0.0	0.9996270510218255
group712	0.0	0.9996270510218255
group713	0.0	0.9996270510218255
group714	0.0	0.9996270510218255
group715	0.0	0.9996270510218255
group716	1.0	0.9977045253033445
group717	2.0	0.9923878157469086
group718	0.0	0.9996270510218255
group719	0.0	0.9996270510218255
group720	0.0	0.9996270510218255
group721	5.0	0.9376373728504575
group722	1.0	0.9977045253033445
group723	2.0	0.9923878157469086
group724	0.0	0.9996270510218255
group725	0.0	0.9996270510218255
group726	0.0	0.9996270510218255
group727	1.0	0.9977045253033445
group728	1.0	0.9977045253033445
group729	5.0	0.9376373728504575
group730	0.0	0.9996270510218255
group731	0.0	0.9996270510218255
group732	0.0	0.9996270510218255
group733	0.0	0.9996270510218255
group734	5.0	0.9376373728504575
group735	1.0	0.9977045253033445
group736	1.0	0.9977045253033445
group737	0.0	0.9996270510218255
group738	0.0	0.9996270510218255
group739	1.0	0.9977045253033445
group740	0.0	0.9996270510218255
group741	0.0	0.9996270510218255
group742	0.0	0.9996270510218255
group743	1.0	0.9977045253033445
group744	3.0	0.9816039147469156
group745	0.0	0.9996270510218255
group746	0.0	0.9996270510218255
group747	0.0	0.9996270510218255
group748	0.0	0.9996270510218255
group749	1.0	0.9977045253033445
group750	0.0	0.9996270510218255
group751	0.0	0.9996270510218255
group752	2.0	0.9923878157469086
group753	0.0	0.9996270510218255
group754	1.0	0.9977045253033445
group755	0.0	0.9996270510218255
group756	0.0	0.9996270510218255
group757	0.0	0.9996270510218255
group758	0.0	0.9996270510218255
group759	0.0	0.9996270510218255
group760	3.0	0.9816039147469156
group761	2.0	0.9923878157469086
group762	0.0	0.9996270510218255
group763	0.0	0.9996270510218255
group764	0.0	0.9996270510218255
group765	4.0	0.9636385976372321
group766	0.0	0.9996270510218255
group767	1.0	0.9977045253033445
group768	0.0	0.9996270510218255
group769	0.0	0.9996270510218255
group770	0.0	0.9996270510218255
group771	0.0	0.9996270510218255
group772	1.0	0.9977045253033445
group773	0.0	0.9996270510218255
group774	0.0	0.9996270510218255
group775	0.0	0.9996270510218255
group776	0.0	0.9996270510218255
group777	0.0	0.9996270510218255
group778	0.0	0.9996270510218255
group779	0.0	0.9996270510218255
group780	0.0	0.9996270510218255
group781	0.0	0.9996270510218255
group782	5.0	0.9376373728504575
group783	4.0	0.9636385976372321
group784	0.0	0.9996270510218255
group785	0.0	0.9996270510218255
group786	0.0	0.9996270510218255
group787	1.0	0.9977045253033445
group788	0.0	0.9996270510218255
group789	0.0	0.9996270510218255
group790	2.0	0.9923878157469086
group791	0.0	0.9996270510218255
group792	0.0	0.9996270510218255
group793	0.0	0.9996270510218255
group794	2.0	0.9923878157469086
group795	3.0	0.9816039147469156
group796	0.0	0.9996270510218255
group797	1.0	0.9977045253033445
group798	4.0	0.9636385976372321
group799	8.0	0.8169246331035801
group800	0.0	0.9996270510218255
group801	2.0	0.9923878157469086
group802	0.0	0.9996270510218255
group803	1.0	0.9977045253033445
group804	3.0	0.9816039147469156
group805	0.0	0.9996270510218255
group806	0.0	0.9996270510218255
group807	0.0	0.9996270510218255
group808	0.0	0.9996270510218255
group809	0.0	0.9996270510218255
group810	0.0	0.9996270510218255
group811	0.0	0.9996270510218255
group812	2.0	0.9923878157469086
group813	4.0	0.9636385976372321
group814	0.0	0.9996270510218255
group815	0.0	0.9996270510218255
group816	0.0	0.9996270510218255
group817	0.0	0.9996270510218255
group818	0.0	0.9996270510218255
group819	0.0	0.9996270510218255
group820	0.0	0.9996270510218255
group821	0.0	0.9996270510218255
group822	0.0	0.9996270510218255
group823	8.0	0.8169246331035801
group824	0.0	0.9996270510218255
group825	0.0	0.9996270510218255
group826	0.0	0.9996270510218255
group827	0.0	0.9996270510218255
group828	0.0	0.9996270510218255
group829	2.0	0.9923878157469086
group830	0.0	0.9996270510218255
group831	0.0	0.9996270510218255
group832	2.0	0.9923878157469086
group833	0.0	0.9996270510218255
group834	0.0	0.9996270510218255
group835	0.0	0.9996270510218255
group836	1.0	0.9977045253033445
group837	3.0	0.9816039147469156
group838	0.0	0.9996270510218255
group839	1.0	0.9977045253033445
group840	0.0	0.9996270510218255
group841	0.0	0.9996270510218255
group842	5.0	0.9376373728504575
group843	0.0	0.9996270510218255
group844	0.0	0.9996270510218255
group845	0.0	0.9996270510218255
group846	3.0	0.9816039147469156
group847	0.0	0.9996270510218255
group848	0.0	0.9996270510218255
group849	0.0	0.9996270510218255
group850	1.0	0.9977045253033445
group851	0.0	0.9996270510218255
group852	2.0	0.9923878157469086
group853	0.0	0.9996270510218255
group854	0.0	0.9996270510218255
group855	0.0	0.9996270510218255
group856	0.0	0.9996270510218255
group857	0.0	0.9996270510218255
group858	8.0	0.8169246331035801
group859	0.0	0.9996270510218255
group860	0.0	0.9996270510218255
group861	1.0	0.9977045253033445
group862	2.0	0.9923878157469086
group863	0.0	0.9996270510218255
group864	0.0	0.9996270510218255
group865	0.0	0.9996270510218255
group866	0.0	0.9996270510218255
group867	0.0	0.9996270510218255
group868	0.0	0.9996270510218255
group869	0.0	0.9996270510218255
group870	0.0	0.9996270510218255
group871	5.0	0.9376373728504575
group872	1.0	0.9977045253033445
group873	0.0	0.9996270510218255
group874	2.0	0.9923878157469086
