	n	p	p_mc
group118	35.0	0.03722695891255344	0.037315
group119	8.0	0.6089271376925609	0.60864
group120	4.0	0.7995284463150603	0.79933
group121	20.0	0.209756230900581	0.20821
group122	4.0	0.7995284463150603	0.79933
group123	21.0	0.18919628651833187	0.188015
group124	6.0	0.7029110673035962	0.70271
group125	68.0	0.00031624789516994086	0.000285
group126	2.0	0.8960813120705418	0.896145
group127	1.0	0.9413269327800585	0.941335
group128	0.0	0.9815302730563205	0.98146
group129	9.0	0.5637984007605903	0.564285
group130	15.0	0.34022629115553166	0.338695
group131	11.0	0.48045817516495287	0.480855
group132	8.0	0.6089271376925609	0.60864
group133	12.0	0.44215817756016235	0.44223
group134	9.0	0.5637984007605903	0.564285
group135	35.0	0.03722695891255344	0.037315
group136	9.0	0.5637984007605903	0.564285
group137	28.0	0.08713402628490527	0.08685
group138	24.0	0.13737014757494478	0.13622
group139	15.0	0.34022629115553166	0.338695
group140	9.0	0.5637984007605903	0.564285
group141	14.0	0.37204078967426624	0.37142
group142	14.0	0.37204078967426624	0.37142
group143	13.0	0.40597363279368287	0.405615
group144	0.0	0.9815302730563205	0.98146
group145	23.0	0.15321302217561789	0.152215
group146	38.0	0.025332827818725253	0.02506
group147	34.0	0.04218447370764899	0.042505
group148	19.0	0.23218573383088986	0.230075
group149	5.0	0.7510605245731589	0.75113
group150	60.0	0.0011050363600372663	0.000975
group151	18.0	0.25637057800304724	0.254035
group152	2.0	0.8960813120705418	0.896145
group153	4.0	0.7995284463150603	0.79933
group154	19.0	0.23218573383088986	0.230075
group155	8.0	0.6089271376925609	0.60864
group156	10.0	0.5209568795122508	0.521505
group157	1.0	0.9413269327800585	0.941335
group158	2.0	0.8960813120705418	0.896145
group159	3.0	0.8481189845234005	0.84798
group160	4.0	0.7995284463150603	0.79933
group161	15.0	0.34022629115553166	0.338695
group162	0.0	0.9815302730563205	0.98146
group163	23.0	0.15321302217561789	0.152215
group164	9.0	0.5637984007605903	0.564285
group165	6.0	0.7029110673035962	0.70271
group166	33.0	0.047756062900310196	0.04822
group167	4.0	0.7995284463150603	0.79933
group168	15.0	0.34022629115553166	0.338695
group169	5.0	0.7510605245731589	0.75113
group170	15.0	0.34022629115553166	0.338695
group171	1.0	0.9413269327800585	0.941335
group172	9.0	0.5637984007605903	0.564285
group173	6.0	0.7029110673035962	0.70271
group174	1.0	0.9413269327800585	0.941335
group175	4.0	0.7995284463150603	0.79933
group176	12.0	0.44215817756016235	0.44223
group177	13.0	0.40597363279368287	0.405615
group178	3.0	0.8481189845234005	0.84798
group179	7.0	0.6555652833239324	0.654955
group180	4.0	0.7995284463150603	0.79933
group181	8.0	0.6089271376925609	0.60864
group182	31.0	0.060991843164433804	0.061175
group183	2.0	0.8960813120705418	0.896145
group184	17.0	0.2823220006167115	0.27994
group185	25.0	0.12289616631355292	0.121675
group186	7.0	0.6555652833239324	0.654955
group187	12.0	0.44215817756016235	0.44223
group188	23.0	0.15321302217561789	0.152215
group189	23.0	0.15321302217561789	0.152215
group190	22.0	0.17043590650063695	0.169515
group191	7.0	0.6555652833239324	0.654955
group192	13.0	0.40597363279368287	0.405615
group193	19.0	0.23218573383088986	0.230075
group194	26.0	0.10975127549487564	0.10852
group195	21.0	0.18919628651833187	0.188015
group196	28.0	0.08713402628490527	0.08685
group197	13.0	0.40597363279368287	0.405615
group198	9.0	0.5637984007605903	0.564285
group199	15.0	0.34022629115553166	0.338695
group200	10.0	0.5209568795122508	0.521505
group201	17.0	0.2823220006167115	0.27994
group202	18.0	0.25637057800304724	0.254035
group203	11.0	0.48045817516495287	0.480855
group204	0.0	0.9815302730563205	0.98146
group205	26.0	0.10975127549487564	0.10852
group206	6.0	0.7029110673035962	0.70271
group207	11.0	0.48045817516495287	0.480855
group208	2.0	0.8960813120705418	0.896145
group209	2.0	0.8960813120705418	0.896145
group210	15.0	0.34022629115553166	0.338695
group211	10.0	0.5209568795122508	0.521505
group212	25.0	0.12289616631355292	0.121675
group213	32.0	0.05400872760891926	0.0543
group214	16.0	0.31026942180837624	0.30799
group215	15.0	0.34022629115553166	0.338695
group216	7.0	0.6555652833239324	0.654955
group217	15.0	0.34022629115553166	0.338695
group218	0.0	0.9815302730563205	0.98146
group219	6.0	0.7029110673035962	0.70271
group220	10.0	0.5209568795122508	0.521505
group221	2.0	0.8960813120705418	0.896145
group222	9.0	0.5637984007605903	0.564285
group223	41.0	0.017033709351104966	0.01657
group224	11.0	0.48045817516495287	0.480855
group225	14.0	0.37204078967426624	0.37142
group226	38.0	0.025332827818725253	0.02506
group227	17.0	0.2823220006167115	0.27994
group228	4.0	0.7995284463150603	0.79933
group229	0.0	0.9815302730563205	0.98146
group230	17.0	0.2823220006167115	0.27994
group231	33.0	0.047756062900310196	0.04822
group232	19.0	0.23218573383088986	0.230075
group233	3.0	0.8481189845234005	0.84798
group234	4.0	0.7995284463150603	0.79933
group235	12.0	0.44215817756016235	0.44223
group236	43.0	0.012996154937559694	0.01271
group237	29.0	0.07746662488307354	0.077315
group238	15.0	0.34022629115553166	0.338695
group239	2.0	0.8960813120705418	0.896145
group240	12.0	0.44215817756016235	0.44223
group241	21.0	0.18919628651833187	0.188015
group242	12.0	0.44215817756016235	0.44223
group243	0.0	0.9815302730563205	0.98146
group244	3.0	0.8481189845234005	0.84798
group245	45.0	0.009869899726839205	0.009225
group246	18.0	0.25637057800304724	0.254035
group247	1.0	0.9413269327800585	0.941335
group248	10.0	0.5209568795122508	0.521505
group249	4.0	0.7995284463150603	0.79933
group250	31.0	0.060991843164433804	0.061175
group251	6.0	0.7029110673035962	0.70271
group252	28.0	0.08713402628490527	0.08685
group253	18.0	0.25637057800304724	0.254035
group254	19.0	0.23218573383088986	0.230075
group255	11.0	0.48045817516495287	0.480855
group256	5.0	0.7510605245731589	0.75113
group257	5.0	0.7510605245731589	0.75113
group258	3.0	0.8481189845234005	0.84798
group259	8.0	0.6089271376925609	0.60864
group260	6.0	0.7029110673035962	0.70271
group261	17.0	0.2823220006167115	0.27994
group262	20.0	0.209756230900581	0.20821
group263	9.0	0.5637984007605903	0.564285
group264	10.0	0.5209568795122508	0.521505
group265	5.0	0.7510605245731589	0.75113
group266	10.0	0.5209568795122508	0.521505
group267	13.0	0.40597363279368287	0.405615
group268	23.0	0.15321302217561789	0.152215
group269	4.0	0.7995284463150603	0.79933
group270	49.0	0.005623018202266912	0.00536
group271	21.0	0.18919628651833187	0.188015
group272	20.0	0.209756230900581	0.20821
group273	20.0	0.209756230900581	0.20821
group274	51.0	0.004219122894101061	0.003995
group275	13.0	0.40597363279368287	0.405615
group276	20.0	0.209756230900581	0.20821
group277	20.0	0.209756230900581	0.20821
group278	13.0	0.40597363279368287	0.405615
group279	14.0	0.37204078967426624	0.37142
group280	12.0	0.44215817756016235	0.44223
group281	11.0	0.48045817516495287	0.480855
group282	4.0	0.7995284463150603	0.79933
group283	26.0	0.10975127549487564	0.10852
group284	10.0	0.5209568795122508	0.521505
group285	6.0	0.7029110673035962	0.70271
group286	19.0	0.23218573383088986	0.230075
group287	2.0	0.8960813120705418	0.896145
group288	21.0	0.18919628651833187	0.188015
group289	0.0	0.9815302730563205	0.98146
group290	15.0	0.34022629115553166	0.338695
group291	13.0	0.40597363279368287	0.405615
group292	14.0	0.37204078967426624	0.37142
group293	14.0	0.37204078967426624	0.37142
group294	1.0	0.9413269327800585	0.941335
group295	16.0	0.31026942180837624	0.30799
group296	13.0	0.40597363279368287	0.405615
group297	1.0	0.9413269327800585	0.941335
group298	27.0	0.097855328177685	0.096985
group299	4.0	0.7995284463150603	0.79933
group300	6.0	0.7029110673035962	0.70271
group301	34.0	0.04218447370764899	0.042505
group302	7.0	0.6555652833239324	0.654955
group303	5.0	0.7510605245731589	0.75113
group304	0.0	0.9815302730563205	0.98146
group305	10.0	0.5209568795122508	0.521505
group306	1.0	0.9413269327800585	0.941335
group307	6.0	0.7029110673035962	0.70271
group308	1.0	0.9413269327800585	0.941335
group309	8.0	0.6089271376925609	0.60864
group310	13.0	0.40597363279368287	0.405615
group311	0.0	0.9815302730563205	0.98146
group312	27.0	0.097855328177685	0.096985
group313	17.0	0.2823220006167115	0.27994
group314	8.0	0.6089271376925609	0.60864
group315	2.0	0.8960813120705418	0.896145
group316	25.0	0.12289616631355292	0.121675
group317	10.0	0.5209568795122508	0.521505
group318	2.0	0.8960813120705418	0.896145
group319	5.0	0.7510605245731589	0.75113
group320	19.0	0.23218573383088986	0.230075
group321	10.0	0.5209568795122508	0.521505
group322	2.0	0.8960813120705418	0.896145
group323	22.0	0.17043590650063695	0.169515
group324	12.0	0.44215817756016235	0.44223
group325	22.0	0.17043590650063695	0.169515
group326	14.0	0.37204078967426624	0.37142
group327	0.0	0.9815302730563205	0.98146
group328	32.0	0.05400872760891926	0.0543
group329	11.0	0.48045817516495287	0.480855
group330	4.0	0.7995284463150603	0.79933
group331	10.0	0.5209568795122508	0.521505
group332	8.0	0.6089271376925609	0.60864
group333	32.0	0.05400872760891926	0.0543
group334	7.0	0.6555652833239324	0.654955
group335	11.0	0.48045817516495287	0.480855
group336	6.0	0.7029110673035962	0.70271
group337	11.0	0.48045817516495287	0.480855
group338	9.0	0.5637984007605903	0.564285
group339	12.0	0.44215817756016235	0.44223
group340	56.0	0.002022746656069583	0.001945
group341	19.0	0.23218573383088986	0.230075
group342	24.0	0.13737014757494478	0.13622
group343	30.0	0.06877637616864106	0.068755
group344	14.0	0.37204078967426624	0.37142
group345	6.0	0.7029110673035962	0.70271
group346	0.0	0.9815302730563205	0.98146
group347	8.0	0.6089271376925609	0.60864
group348	6.0	0.7029110673035962	0.70271
group349	6.0	0.7029110673035962	0.70271
group350	10.0	0.5209568795122508	0.521505
group351	18.0	0.25637057800304724	0.254035
group352	25.0	0.12289616631355292	0.121675
group353	6.0	0.7029110673035962	0.70271
group354	5.0	0.7510605245731589	0.75113
group355	6.0	0.7029110673035962	0.70271
group356	11.0	0.48045817516495287	0.480855
group357	0.0	0.9815302730563205	0.98146
group358	1.0	0.9413269327800585	0.941335
group359	30.0	0.06877637616864106	0.068755
group360	9.0	0.5637984007605903	0.564285
group361	20.0	0.209756230900581	0.20821
group362	5.0	0.7510605245731589	0.75113
group363	17.0	0.2823220006167115	0.27994
group364	23.0	0.15321302217561789	0.152215
group365	20.0	0.209756230900581	0.20821
group366	8.0	0.6089271376925609	0.60864
group367	23.0	0.15321302217561789	0.152215
group368	10.0	0.5209568795122508	0.521505
group369	8.0	0.6089271376925609	0.60864
group370	9.0	0.5637984007605903	0.564285
group371	2.0	0.8960813120705418	0.896145
group372	2.0	0.8960813120705418	0.896145
group373	9.0	0.5637984007605903	0.564285
group374	8.0	0.6089271376925609	0.60864
group375	39.0	0.022219840947502276	0.02178
group376	4.0	0.7995284463150603	0.79933
group377	9.0	0.5637984007605903	0.564285
group378	13.0	0.40597363279368287	0.405615
group379	2.0	0.8960813120705418	0.896145
group380	10.0	0.5209568795122508	0.521505
group381	18.0	0.25637057800304724	0.254035
group382	3.0	0.8481189845234005	0.84798
group383	13.0	0.40597363279368287	0.405615
group384	42.0	0.014887461054240093	0.01457
group385	10.0	0.5209568795122508	0.521505
group386	11.0	0.48045817516495287	0.480855
group387	7.0	0.6555652833239324	0.654955
group388	22.0	0.17043590650063695	0.169515
group389	5.0	0.7510605245731589	0.75113
group390	21.0	0.18919628651833187	0.188015
group391	19.0	0.23218573383088986	0.230075
group392	2.0	0.8960813120705418	0.896145
group393	2.0	0.8960813120705418	0.896145
group394	14.0	0.37204078967426624	0.37142
group395	20.0	0.209756230900581	0.20821
group396	20.0	0.209756230900581	0.20821
group397	3.0	0.8481189845234005	0.84798
group398	15.0	0.34022629115553166	0.338695
group399	11.0	0.48045817516495287	0.480855
group400	3.0	0.8481189845234005	0.84798
group401	16.0	0.31026942180837624	0.30799
group402	11.0	0.48045817516495287	0.480855
group403	17.0	0.2823220006167115	0.27994
group404	18.0	0.25637057800304724	0.254035
group405	10.0	0.5209568795122508	0.521505
group406	23.0	0.15321302217561789	0.152215
group407	7.0	0.6555652833239324	0.654955
group408	19.0	0.23218573383088986	0.230075
group409	13.0	0.40597363279368287	0.405615
group410	16.0	0.31026942180837624	0.30799
group411	8.0	0.6089271376925609	0.60864
group412	4.0	0.7995284463150603	0.79933
group413	3.0	0.8481189845234005	0.84798
group414	12.0	0.44215817756016235	0.44223
group415	27.0	0.097855328177685	0.096985
group416	5.0	0.7510605245731589	0.75113
group417	11.0	0.48045817516495287	0.480855
group418	15.0	0.34022629115553166	0.338695
group419	8.0	0.6089271376925609	0.60864
group420	3.0	0.8481189845234005	0.84798
group421	12.0	0.44215817756016235	0.44223
group422	9.0	0.5637984007605903	0.564285
group423	15.0	0.34022629115553166	0.338695
group424	7.0	0.6555652833239324	0.654955
group425	8.0	0.6089271376925609	0.60864
group426	18.0	0.25637057800304724	0.254035
group427	1.0	0.9413269327800585	0.941335
group428	1.0	0.9413269327800585	0.941335
group429	2.0	0.8960813120705418	0.896145
group430	20.0	0.209756230900581	0.20821
group431	5.0	0.7510605245731589	0.75113
group432	3.0	0.8481189845234005	0.84798
group433	2.0	0.8960813120705418	0.896145
group434	50.0	0.004873096358170399	0.00468
group435	15.0	0.34022629115553166	0.338695
group436	2.0	0.8960813120705418	0.896145
group437	4.0	0.7995284463150603	0.79933
group438	20.0	0.209756230900581	0.20821
group439	7.0	0.6555652833239324	0.654955
group440	1.0	0.9413269327800585	0.941335
group441	16.0	0.31026942180837624	0.30799
group442	1.0	0.9413269327800585	0.941335
group443	17.0	0.2823220006167115	0.27994
group444	0.0	0.9815302730563205	0.98146
group445	8.0	0.6089271376925609	0.60864
group446	18.0	0.25637057800304724	0.254035
group447	13.0	0.40597363279368287	0.405615
group448	4.0	0.7995284463150603	0.79933
group449	6.0	0.7029110673035962	0.70271
group450	30.0	0.06877637616864106	0.068755
group451	3.0	0.8481189845234005	0.84798
group452	15.0	0.34022629115553166	0.338695
group453	2.0	0.8960813120705418	0.896145
group454	11.0	0.48045817516495287	0.480855
group455	34.0	0.04218447370764899	0.042505
group456	18.0	0.25637057800304724	0.254035
group457	26.0	0.10975127549487564	0.10852
group458	0.0	0.9815302730563205	0.98146
group459	3.0	0.8481189845234005	0.84798
group460	22.0	0.17043590650063695	0.169515
group461	7.0	0.6555652833239324	0.654955
group462	16.0	0.31026942180837624	0.30799
group463	21.0	0.18919628651833187	0.188015
group464	10.0	0.5209568795122508	0.521505
group465	17.0	0.2823220006167115	0.27994
group466	36.0	0.032799700651244684	0.03267
group467	11.0	0.48045817516495287	0.480855
group468	9.0	0.5637984007605903	0.564285
group469	11.0	0.48045817516495287	0.480855
group470	55.0	0.0023477344733151264	0.00232
group471	8.0	0.6089271376925609	0.60864
group472	13.0	0.40597363279368287	0.405615
group473	12.0	0.44215817756016235	0.44223
group474	2.0	0.8960813120705418	0.896145
group475	3.0	0.8481189845234005	0.84798
group476	3.0	0.8481189845234005	0.84798
group477	6.0	0.7029110673035962	0.70271
group478	17.0	0.2823220006167115	0.27994
group479	16.0	0.31026942180837624	0.30799
group480	7.0	0.6555652833239324	0.654955
group481	0.0	0.9815302730563205	0.98146
group482	14.0	0.37204078967426624	0.37142
group483	14.0	0.37204078967426624	0.37142
group484	13.0	0.40597363279368287	0.405615
group485	9.0	0.5637984007605903	0.564285
group486	14.0	0.37204078967426624	0.37142
group487	15.0	0.34022629115553166	0.338695
group488	5.0	0.7510605245731589	0.75113
group489	5.0	0.7510605245731589	0.75113
group490	6.0	0.7029110673035962	0.70271
group491	1.0	0.9413269327800585	0.941335
group492	12.0	0.44215817756016235	0.44223
group493	2.0	0.8960813120705418	0.896145
group494	18.0	0.25637057800304724	0.254035
group495	11.0	0.48045817516495287	0.480855
group496	17.0	0.2823220006167115	0.27994
group497	13.0	0.40597363279368287	0.405615
group498	11.0	0.48045817516495287	0.480855
group499	9.0	0.5637984007605903	0.564285
group500	19.0	0.23218573383088986	0.230075
group501	4.0	0.7995284463150603	0.79933
group502	8.0	0.6089271376925609	0.60864
group503	4.0	0.7995284463150603	0.79933
group504	15.0	0.34022629115553166	0.338695
group505	13.0	0.40597363279368287	0.405615
group506	11.0	0.48045817516495287	0.480855
group507	1.0	0.9413269327800585	0.941335
group508	13.0	0.40597363279368287	0.405615
group509	11.0	0.48045817516495287	0.480855
group510	22.0	0.17043590650063695	0.169515
group511	10.0	0.5209568795122508	0.521505
group512	3.0	0.8481189845234005	0.84798
group513	23.0	0.15321302217561789	0.152215
group514	15.0	0.34022629115553166	0.338695
group515	4.0	0.7995284463150603	0.79933
group516	4.0	0.7995284463150603	0.79933
group517	1.0	0.9413269327800585	0.941335
group518	0.0	0.9815302730563205	0.98146
group519	5.0	0.7510605245731589	0.75113
group520	11.0	0.48045817516495287	0.480855
group521	5.0	0.7510605245731589	0.75113
group522	6.0	0.7029110673035962	0.70271
group523	31.0	0.060991843164433804	0.061175
group524	13.0	0.40597363279368287	0.405615
group525	0.0	0.9815302730563205	0.98146
group526	4.0	0.7995284463150603	0.79933
group527	23.0	0.15321302217561789	0.152215
group528	3.0	0.8481189845234005	0.84798
group529	4.0	0.7995284463150603	0.79933
group530	5.0	0.7510605245731589	0.75113
group531	4.0	0.7995284463150603	0.79933
group532	23.0	0.15321302217561789	0.152215
group533	2.0	0.8960813120705418	0.896145
group534	20.0	0.209756230900581	0.20821
group535	24.0	0.13737014757494478	0.13622
group536	21.0	0.18919628651833187	0.188015
group537	6.0	0.7029110673035962	0.70271
group538	11.0	0.48045817516495287	0.480855
group539	10.0	0.5209568795122508	0.521505
group540	1.0	0.9413269327800585	0.941335
group541	26.0	0.10975127549487564	0.10852
group542	8.0	0.6089271376925609	0.60864
group543	19.0	0.23218573383088986	0.230075
group544	8.0	0.6089271376925609	0.60864
group545	4.0	0.7995284463150603	0.79933
group546	23.0	0.15321302217561789	0.152215
group547	32.0	0.05400872760891926	0.0543
group548	13.0	0.40597363279368287	0.405615
group549	18.0	0.25637057800304724	0.254035
group550	6.0	0.7029110673035962	0.70271
group551	5.0	0.7510605245731589	0.75113
group552	8.0	0.6089271376925609	0.60864
group553	6.0	0.7029110673035962	0.70271
group554	17.0	0.2823220006167115	0.27994
group555	5.0	0.7510605245731589	0.75113
group556	4.0	0.7995284463150603	0.79933
group557	3.0	0.8481189845234005	0.84798
group558	1.0	0.9413269327800585	0.941335
group559	25.0	0.12289616631355292	0.121675
group560	24.0	0.13737014757494478	0.13622
group561	5.0	0.7510605245731589	0.75113
group562	18.0	0.25637057800304724	0.254035
group563	10.0	0.5209568795122508	0.521505
group564	3.0	0.8481189845234005	0.84798
group565	20.0	0.209756230900581	0.20821
group566	22.0	0.17043590650063695	0.169515
group567	12.0	0.44215817756016235	0.44223
group568	0.0	0.9815302730563205	0.98146
group569	6.0	0.7029110673035962	0.70271
group570	3.0	0.8481189845234005	0.84798
group571	12.0	0.44215817756016235	0.44223
group572	14.0	0.37204078967426624	0.37142
group573	11.0	0.48045817516495287	0.480855
group574	24.0	0.13737014757494478	0.13622
group575	18.0	0.25637057800304724	0.254035
group576	3.0	0.8481189845234005	0.84798
group577	2.0	0.8960813120705418	0.896145
group578	4.0	0.7995284463150603	0.79933
group579	8.0	0.6089271376925609	0.60864
group580	5.0	0.7510605245731589	0.75113
group581	1.0	0.9413269327800585	0.941335
group582	12.0	0.44215817756016235	0.44223
group583	6.0	0.7029110673035962	0.70271
group584	0.0	0.9815302730563205	0.98146
group585	20.0	0.209756230900581	0.20821
group586	15.0	0.34022629115553166	0.338695
group587	27.0	0.097855328177685	0.096985
group588	8.0	0.6089271376925609	0.60864
group589	6.0	0.7029110673035962	0.70271
group590	13.0	0.40597363279368287	0.405615
group591	5.0	0.7510605245731589	0.75113
group592	2.0	0.8960813120705418	0.896145
group593	5.0	0.7510605245731589	0.75113
group594	10.0	0.5209568795122508	0.521505
group595	12.0	0.44215817756016235	0.44223
group596	6.0	0.7029110673035962	0.70271
group597	2.0	0.8960813120705418	0.896145
group598	24.0	0.13737014757494478	0.13622
group599	51.0	0.004219122894101061	0.003995
group600	20.0	0.209756230900581	0.20821
group601	3.0	0.8481189845234005	0.84798
group602	3.0	0.8481189845234005	0.84798
group603	14.0	0.37204078967426624	0.37142
group604	13.0	0.40597363279368287	0.405615
group605	2.0	0.8960813120705418	0.896145
group606	17.0	0.2823220006167115	0.27994
group607	15.0	0.34022629115553166	0.338695
group608	2.0	0.8960813120705418	0.896145
group609	22.0	0.17043590650063695	0.169515
group610	11.0	0.48045817516495287	0.480855
group611	17.0	0.2823220006167115	0.27994
group612	14.0	0.37204078967426624	0.37142
group613	3.0	0.8481189845234005	0.84798
group614	34.0	0.04218447370764899	0.042505
group615	25.0	0.12289616631355292	0.121675
group616	24.0	0.13737014757494478	0.13622
group617	8.0	0.6089271376925609	0.60864
group618	5.0	0.7510605245731589	0.75113
group619	10.0	0.5209568795122508	0.521505
group620	17.0	0.2823220006167115	0.27994
group621	13.0	0.40597363279368287	0.405615
group622	8.0	0.6089271376925609	0.60864
group623	9.0	0.5637984007605903	0.564285
group624	7.0	0.6555652833239324	0.654955
group625	35.0	0.03722695891255344	0.037315
group626	8.0	0.6089271376925609	0.60864
group627	7.0	0.6555652833239324	0.654955
group628	5.0	0.7510605245731589	0.75113
group629	20.0	0.209756230900581	0.20821
group630	18.0	0.25637057800304724	0.254035
group631	24.0	0.13737014757494478	0.13622
group632	21.0	0.18919628651833187	0.188015
group633	4.0	0.7995284463150603	0.79933
group634	5.0	0.7510605245731589	0.75113
group635	22.0	0.17043590650063695	0.169515
group636	35.0	0.03722695891255344	0.037315
group637	13.0	0.40597363279368287	0.405615
group638	41.0	0.017033709351104966	0.01657
group639	3.0	0.8481189845234005	0.84798
group640	11.0	0.48045817516495287	0.480855
group641	30.0	0.06877637616864106	0.068755
group642	20.0	0.209756230900581	0.20821
group643	24.0	0.13737014757494478	0.13622
group644	62.0	0.0008122429142152081	0.000715
group645	27.0	0.097855328177685	0.096985
group646	15.0	0.34022629115553166	0.338695
group647	10.0	0.5209568795122508	0.521505
group648	24.0	0.13737014757494478	0.13622
group649	12.0	0.44215817756016235	0.44223
group650	2.0	0.8960813120705418	0.896145
group651	19.0	0.23218573383088986	0.230075
group652	5.0	0.7510605245731589	0.75113
group653	18.0	0.25637057800304724	0.254035
group654	7.0	0.6555652833239324	0.654955
group655	10.0	0.5209568795122508	0.521505
group656	25.0	0.12289616631355292	0.121675
group657	22.0	0.17043590650063695	0.169515
group658	13.0	0.40597363279368287	0.405615
group659	2.0	0.8960813120705418	0.896145
group660	4.0	0.7995284463150603	0.79933
group661	19.0	0.23218573383088986	0.230075
group662	12.0	0.44215817756016235	0.44223
group663	9.0	0.5637984007605903	0.564285
group664	0.0	0.9815302730563205	0.98146
group665	4.0	0.7995284463150603	0.79933
group666	18.0	0.25637057800304724	0.254035
