	n	p	p_mc
group85	16.0	0.424103490620067	0.425265
group86	13.0	0.5279943039329374	0.52847
group87	18.0	0.36220058434095553	0.36309
group88	25.0	0.19487693965975528	0.194675
group89	6.0	0.8044216238535551	0.804835
group90	16.0	0.424103490620067	0.425265
group91	10.0	0.6433275825860071	0.64264
group92	28.0	0.14512188443039384	0.14411
group93	34.0	0.07714456031153524	0.076745
group94	7.0	0.7648433959116149	0.76503
group95	32.0	0.09578938789821767	0.095655
group96	18.0	0.36220058434095553	0.36309
group97	15.0	0.4573510105445388	0.45821
group98	3.0	0.9140670752552578	0.91513
group99	5.0	0.8428593334324601	0.84352
group100	15.0	0.4573510105445388	0.45821
group101	33.0	0.08601999050464941	0.08597
group102	32.0	0.09578938789821767	0.095655
group103	43.0	0.027251056241383798	0.026575
group104	19.0	0.33356472739058096	0.333895
group105	11.0	0.6038466148581	0.604145
group106	8.0	0.7243643916011879	0.723885
group107	3.0	0.9140670752552578	0.91513
group108	24.0	0.2142199819069697	0.21427
group109	29.0	0.13110371501580342	0.13008
group110	7.0	0.7648433959116149	0.76503
group111	23.0	0.23499925231530389	0.235115
group112	17.0	0.3923616976747312	0.393645
group113	8.0	0.7243643916011879	0.723885
group114	7.0	0.7648433959116149	0.76503
group115	3.0	0.9140670752552578	0.91513
group116	18.0	0.36220058434095553	0.36309
group117	8.0	0.7243643916011879	0.723885
group118	20.0	0.30647514252136204	0.30647
group119	19.0	0.33356472739058096	0.333895
group120	9.0	0.6836220038774937	0.682675
group121	16.0	0.424103490620067	0.425265
group122	11.0	0.6038466148581	0.604145
group123	18.0	0.36220058434095553	0.36309
group124	6.0	0.8044216238535551	0.804835
group125	53.0	0.007665191309756634	0.007345
group126	6.0	0.8044216238535551	0.804835
group127	10.0	0.6433275825860071	0.64264
group128	25.0	0.19487693965975528	0.194675
group129	6.0	0.8044216238535551	0.804835
group130	11.0	0.6038466148581	0.604145
group131	5.0	0.8428593334324601	0.84352
group132	16.0	0.424103490620067	0.425265
group133	11.0	0.6038466148581	0.604145
group134	15.0	0.4573510105445388	0.45821
group135	22.0	0.25723745171961626	0.25675
group136	0.0	0.9919081697437928	0.992045
group137	13.0	0.5279943039329374	0.52847
group138	8.0	0.7243643916011879	0.723885
group139	8.0	0.7243643916011879	0.723885
group140	30.0	0.11825511832291458	0.117485
group141	5.0	0.8428593334324601	0.84352
group142	38.0	0.04922840531348534	0.04837
group143	21.0	0.28102709317650326	0.280445
group144	23.0	0.23499925231530389	0.235115
group145	3.0	0.9140670752552578	0.91513
group146	29.0	0.13110371501580342	0.13008
group147	18.0	0.36220058434095553	0.36309
group148	8.0	0.7243643916011879	0.723885
group149	3.0	0.9140670752552578	0.91513
group150	28.0	0.14512188443039384	0.14411
group151	33.0	0.08601999050464941	0.08597
group152	17.0	0.3923616976747312	0.393645
group153	17.0	0.3923616976747312	0.393645
group154	33.0	0.08601999050464941	0.08597
group155	23.0	0.23499925231530389	0.235115
group156	3.0	0.9140670752552578	0.91513
group157	13.0	0.5279943039329374	0.52847
group158	42.0	0.030748398087397412	0.02996
group159	12.0	0.5653582533820657	0.566045
group160	10.0	0.6433275825860071	0.64264
group161	12.0	0.5653582533820657	0.566045
group162	8.0	0.7243643916011879	0.723885
group163	12.0	0.5653582533820657	0.566045
group164	2.0	0.9453709799996856	0.946045
group165	4.0	0.8795844428772457	0.88062
group166	30.0	0.11825511832291458	0.117485
group167	21.0	0.28102709317650326	0.280445
group168	27.0	0.16037591799844517	0.159535
group169	30.0	0.11825511832291458	0.117485
group170	5.0	0.8428593334324601	0.84352
group171	37.0	0.05519652919204339	0.05429
group172	62.0	0.0022491942034854997	0.0023
group173	5.0	0.8428593334324601	0.84352
group174	33.0	0.08601999050464941	0.08597
group175	28.0	0.14512188443039384	0.14411
group176	19.0	0.33356472739058096	0.333895
group177	0.0	0.9919081697437928	0.992045
group178	17.0	0.3923616976747312	0.393645
group179	18.0	0.36220058434095553	0.36309
group180	18.0	0.36220058434095553	0.36309
group181	4.0	0.8795844428772457	0.88062
group182	8.0	0.7243643916011879	0.723885
group183	27.0	0.16037591799844517	0.159535
group184	15.0	0.4573510105445388	0.45821
group185	15.0	0.4573510105445388	0.45821
group186	3.0	0.9140670752552578	0.91513
group187	2.0	0.9453709799996856	0.946045
group188	7.0	0.7648433959116149	0.76503
group189	2.0	0.9453709799996856	0.946045
group190	24.0	0.2142199819069697	0.21427
group191	39.0	0.043846971492951935	0.042885
group192	6.0	0.8044216238535551	0.804835
group193	8.0	0.7243643916011879	0.723885
group194	44.0	0.024122555091524146	0.023455
group195	7.0	0.7648433959116149	0.76503
group196	10.0	0.6433275825860071	0.64264
group197	22.0	0.25723745171961626	0.25675
group198	14.0	0.49196771558901947	0.492535
group199	26.0	0.1769444473295978	0.17647
group200	20.0	0.30647514252136204	0.30647
group201	32.0	0.09578938789821767	0.095655
group202	8.0	0.7243643916011879	0.723885
group203	42.0	0.030748398087397412	0.02996
group204	22.0	0.25723745171961626	0.25675
group205	21.0	0.28102709317650326	0.280445
group206	5.0	0.8428593334324601	0.84352
group207	13.0	0.5279943039329374	0.52847
group208	23.0	0.23499925231530389	0.235115
group209	29.0	0.13110371501580342	0.13008
group210	13.0	0.5279943039329374	0.52847
group211	42.0	0.030748398087397412	0.02996
group212	24.0	0.2142199819069697	0.21427
group213	26.0	0.1769444473295978	0.17647
group214	47.0	0.016619023705990454	0.01592
group215	16.0	0.424103490620067	0.425265
group216	4.0	0.8795844428772457	0.88062
group217	8.0	0.7243643916011879	0.723885
group218	19.0	0.33356472739058096	0.333895
group219	9.0	0.6836220038774937	0.682675
group220	3.0	0.9140670752552578	0.91513
group221	23.0	0.23499925231530389	0.235115
group222	9.0	0.6836220038774937	0.682675
group223	19.0	0.33356472739058096	0.333895
group224	4.0	0.8795844428772457	0.88062
group225	9.0	0.6836220038774937	0.682675
group226	14.0	0.49196771558901947	0.492535
group227	5.0	0.8428593334324601	0.84352
group228	5.0	0.8428593334324601	0.84352
group229	6.0	0.8044216238535551	0.804835
group230	9.0	0.6836220038774937	0.682675
group231	16.0	0.424103490620067	0.425265
group232	21.0	0.28102709317650326	0.280445
group233	12.0	0.5653582533820657	0.566045
group234	11.0	0.6038466148581	0.604145
group235	12.0	0.5653582533820657	0.566045
group236	5.0	0.8428593334324601	0.84352
group237	46.0	0.018837337276732445	0.01792
group238	25.0	0.19487693965975528	0.194675
group239	12.0	0.5653582533820657	0.566045
group240	27.0	0.16037591799844517	0.159535
group241	14.0	0.49196771558901947	0.492535
group242	22.0	0.25723745171961626	0.25675
group243	4.0	0.8795844428772457	0.88062
group244	27.0	0.16037591799844517	0.159535
group245	25.0	0.19487693965975528	0.194675
group246	17.0	0.3923616976747312	0.393645
group247	27.0	0.16037591799844517	0.159535
group248	19.0	0.33356472739058096	0.333895
group249	49.0	0.012893240172079417	0.012445
group250	24.0	0.2142199819069697	0.21427
group251	3.0	0.9140670752552578	0.91513
group252	22.0	0.25723745171961626	0.25675
group253	16.0	0.424103490620067	0.425265
group254	24.0	0.2142199819069697	0.21427
group255	21.0	0.28102709317650326	0.280445
group256	32.0	0.09578938789821767	0.095655
group257	1.0	0.9719099818089563	0.972255
group258	3.0	0.9140670752552578	0.91513
group259	14.0	0.49196771558901947	0.492535
group260	6.0	0.8044216238535551	0.804835
group261	23.0	0.23499925231530389	0.235115
group262	20.0	0.30647514252136204	0.30647
group263	60.0	0.002972668966783682	0.002965
group264	16.0	0.424103490620067	0.425265
group265	17.0	0.3923616976747312	0.393645
group266	20.0	0.30647514252136204	0.30647
group267	5.0	0.8428593334324601	0.84352
group268	28.0	0.14512188443039384	0.14411
group269	8.0	0.7243643916011879	0.723885
group270	21.0	0.28102709317650326	0.280445
group271	4.0	0.8795844428772457	0.88062
group272	8.0	0.7243643916011879	0.723885
group273	19.0	0.33356472739058096	0.333895
group274	26.0	0.1769444473295978	0.17647
group275	29.0	0.13110371501580342	0.13008
group276	17.0	0.3923616976747312	0.393645
group277	5.0	0.8428593334324601	0.84352
group278	7.0	0.7648433959116149	0.76503
group279	13.0	0.5279943039329374	0.52847
group280	15.0	0.4573510105445388	0.45821
group281	12.0	0.5653582533820657	0.566045
group282	2.0	0.9453709799996856	0.946045
group283	11.0	0.6038466148581	0.604145
group284	24.0	0.2142199819069697	0.21427
group285	6.0	0.8044216238535551	0.804835
group286	9.0	0.6836220038774937	0.682675
group287	14.0	0.49196771558901947	0.492535
group288	24.0	0.2142199819069697	0.21427
group289	17.0	0.3923616976747312	0.393645
group290	6.0	0.8044216238535551	0.804835
group291	14.0	0.49196771558901947	0.492535
group292	37.0	0.05519652919204339	0.05429
group293	13.0	0.5279943039329374	0.52847
group294	8.0	0.7243643916011879	0.723885
group295	13.0	0.5279943039329374	0.52847
group296	12.0	0.5653582533820657	0.566045
group297	18.0	0.36220058434095553	0.36309
group298	37.0	0.05519652919204339	0.05429
group299	8.0	0.7243643916011879	0.723885
group300	20.0	0.30647514252136204	0.30647
group301	12.0	0.5653582533820657	0.566045
group302	8.0	0.7243643916011879	0.723885
group303	38.0	0.04922840531348534	0.04837
group304	21.0	0.28102709317650326	0.280445
group305	4.0	0.8795844428772457	0.88062
group306	7.0	0.7648433959116149	0.76503
group307	25.0	0.19487693965975528	0.194675
group308	15.0	0.4573510105445388	0.45821
group309	10.0	0.6433275825860071	0.64264
group310	12.0	0.5653582533820657	0.566045
group311	28.0	0.14512188443039384	0.14411
group312	21.0	0.28102709317650326	0.280445
group313	26.0	0.1769444473295978	0.17647
group314	12.0	0.5653582533820657	0.566045
group315	23.0	0.23499925231530389	0.235115
group316	11.0	0.6038466148581	0.604145
group317	20.0	0.30647514252136204	0.30647
group318	18.0	0.36220058434095553	0.36309
group319	19.0	0.33356472739058096	0.333895
group320	8.0	0.7243643916011879	0.723885
group321	15.0	0.4573510105445388	0.45821
group322	15.0	0.4573510105445388	0.45821
group323	7.0	0.7648433959116149	0.76503
group324	35.0	0.0690976241638293	0.068525
group325	62.0	0.0022491942034854997	0.0023
group326	25.0	0.19487693965975528	0.194675
group327	16.0	0.424103490620067	0.425265
group328	14.0	0.49196771558901947	0.492535
group329	21.0	0.28102709317650326	0.280445
group330	17.0	0.3923616976747312	0.393645
group331	27.0	0.16037591799844517	0.159535
group332	24.0	0.2142199819069697	0.21427
group333	9.0	0.6836220038774937	0.682675
group334	8.0	0.7243643916011879	0.723885
group335	6.0	0.8044216238535551	0.804835
group336	7.0	0.7648433959116149	0.76503
group337	46.0	0.018837337276732445	0.01792
group338	5.0	0.8428593334324601	0.84352
group339	13.0	0.5279943039329374	0.52847
group340	26.0	0.1769444473295978	0.17647
group341	18.0	0.36220058434095553	0.36309
group342	10.0	0.6433275825860071	0.64264
group343	13.0	0.5279943039329374	0.52847
group344	23.0	0.23499925231530389	0.235115
group345	4.0	0.8795844428772457	0.88062
group346	16.0	0.424103490620067	0.425265
group347	16.0	0.424103490620067	0.425265
group348	23.0	0.23499925231530389	0.235115
group349	14.0	0.49196771558901947	0.492535
group350	17.0	0.3923616976747312	0.393645
group351	17.0	0.3923616976747312	0.393645
group352	18.0	0.36220058434095553	0.36309
group353	1.0	0.9719099818089563	0.972255
group354	12.0	0.5653582533820657	0.566045
group355	5.0	0.8428593334324601	0.84352
group356	1.0	0.9719099818089563	0.972255
group357	6.0	0.8044216238535551	0.804835
group358	4.0	0.8795844428772457	0.88062
group359	19.0	0.33356472739058096	0.333895
group360	6.0	0.8044216238535551	0.804835
group361	28.0	0.14512188443039384	0.14411
group362	15.0	0.4573510105445388	0.45821
group363	16.0	0.424103490620067	0.425265
group364	22.0	0.25723745171961626	0.25675
group365	8.0	0.7243643916011879	0.723885
group366	6.0	0.8044216238535551	0.804835
group367	10.0	0.6433275825860071	0.64264
group368	44.0	0.024122555091524146	0.023455
group369	42.0	0.030748398087397412	0.02996
group370	4.0	0.8795844428772457	0.88062
group371	18.0	0.36220058434095553	0.36309
group372	14.0	0.49196771558901947	0.492535
group373	2.0	0.9453709799996856	0.946045
group374	17.0	0.3923616976747312	0.393645
group375	4.0	0.8795844428772457	0.88062
group376	14.0	0.49196771558901947	0.492535
group377	20.0	0.30647514252136204	0.30647
group378	11.0	0.6038466148581	0.604145
group379	13.0	0.5279943039329374	0.52847
group380	2.0	0.9453709799996856	0.946045
group381	34.0	0.07714456031153524	0.076745
group382	6.0	0.8044216238535551	0.804835
group383	11.0	0.6038466148581	0.604145
group384	13.0	0.5279943039329374	0.52847
group385	1.0	0.9719099818089563	0.972255
group386	9.0	0.6836220038774937	0.682675
group387	17.0	0.3923616976747312	0.393645
group388	16.0	0.424103490620067	0.425265
group389	24.0	0.2142199819069697	0.21427
group390	20.0	0.30647514252136204	0.30647
group391	33.0	0.08601999050464941	0.08597
group392	18.0	0.36220058434095553	0.36309
group393	8.0	0.7243643916011879	0.723885
group394	51.0	0.009961490628226736	0.00932
group395	27.0	0.16037591799844517	0.159535
group396	6.0	0.8044216238535551	0.804835
group397	16.0	0.424103490620067	0.425265
group398	32.0	0.09578938789821767	0.095655
group399	4.0	0.8795844428772457	0.88062
group400	11.0	0.6038466148581	0.604145
group401	21.0	0.28102709317650326	0.280445
group402	18.0	0.36220058434095553	0.36309
group403	13.0	0.5279943039329374	0.52847
group404	1.0	0.9719099818089563	0.972255
group405	4.0	0.8795844428772457	0.88062
group406	18.0	0.36220058434095553	0.36309
group407	20.0	0.30647514252136204	0.30647
group408	9.0	0.6836220038774937	0.682675
group409	18.0	0.36220058434095553	0.36309
group410	24.0	0.2142199819069697	0.21427
group411	4.0	0.8795844428772457	0.88062
group412	51.0	0.009961490628226736	0.00932
group413	13.0	0.5279943039329374	0.52847
group414	15.0	0.4573510105445388	0.45821
group415	3.0	0.9140670752552578	0.91513
group416	4.0	0.8795844428772457	0.88062
group417	16.0	0.424103490620067	0.425265
group418	28.0	0.14512188443039384	0.14411
group419	23.0	0.23499925231530389	0.235115
group420	4.0	0.8795844428772457	0.88062
group421	22.0	0.25723745171961626	0.25675
group422	26.0	0.1769444473295978	0.17647
group423	0.0	0.9919081697437928	0.992045
group424	7.0	0.7648433959116149	0.76503
group425	14.0	0.49196771558901947	0.492535
group426	12.0	0.5653582533820657	0.566045
group427	19.0	0.33356472739058096	0.333895
group428	13.0	0.5279943039329374	0.52847
group429	20.0	0.30647514252136204	0.30647
group430	18.0	0.36220058434095553	0.36309
group431	6.0	0.8044216238535551	0.804835
group432	24.0	0.2142199819069697	0.21427
group433	3.0	0.9140670752552578	0.91513
group434	24.0	0.2142199819069697	0.21427
group435	34.0	0.07714456031153524	0.076745
group436	16.0	0.424103490620067	0.425265
group437	31.0	0.10651119283690955	0.105985
group438	21.0	0.28102709317650326	0.280445
group439	17.0	0.3923616976747312	0.393645
group440	2.0	0.9453709799996856	0.946045
group441	12.0	0.5653582533820657	0.566045
group442	17.0	0.3923616976747312	0.393645
group443	22.0	0.25723745171961626	0.25675
group444	7.0	0.7648433959116149	0.76503
group445	51.0	0.009961490628226736	0.00932
group446	8.0	0.7243643916011879	0.723885
group447	5.0	0.8428593334324601	0.84352
group448	30.0	0.11825511832291458	0.117485
group449	6.0	0.8044216238535551	0.804835
group450	16.0	0.424103490620067	0.425265
group451	27.0	0.16037591799844517	0.159535
group452	8.0	0.7243643916011879	0.723885
group453	5.0	0.8428593334324601	0.84352
group454	16.0	0.424103490620067	0.425265
group455	10.0	0.6433275825860071	0.64264
group456	25.0	0.19487693965975528	0.194675
group457	7.0	0.7648433959116149	0.76503
group458	16.0	0.424103490620067	0.425265
group459	1.0	0.9719099818089563	0.972255
group460	19.0	0.33356472739058096	0.333895
group461	16.0	0.424103490620067	0.425265
group462	28.0	0.14512188443039384	0.14411
group463	30.0	0.11825511832291458	0.117485
group464	12.0	0.5653582533820657	0.566045
group465	17.0	0.3923616976747312	0.393645
group466	3.0	0.9140670752552578	0.91513
group467	14.0	0.49196771558901947	0.492535
group468	14.0	0.49196771558901947	0.492535
group469	20.0	0.30647514252136204	0.30647
group470	24.0	0.2142199819069697	0.21427
group471	47.0	0.016619023705990454	0.01592
group472	8.0	0.7243643916011879	0.723885
group473	14.0	0.49196771558901947	0.492535
group474	0.0	0.9919081697437928	0.992045
group475	26.0	0.1769444473295978	0.17647
group476	10.0	0.6433275825860071	0.64264
group477	29.0	0.13110371501580342	0.13008
group478	10.0	0.6433275825860071	0.64264
group479	19.0	0.33356472739058096	0.333895
group480	11.0	0.6038466148581	0.604145
group481	10.0	0.6433275825860071	0.64264
group482	6.0	0.8044216238535551	0.804835
group483	0.0	0.9919081697437928	0.992045
group484	6.0	0.8044216238535551	0.804835
group485	13.0	0.5279943039329374	0.52847
group486	22.0	0.25723745171961626	0.25675
group487	10.0	0.6433275825860071	0.64264
group488	17.0	0.3923616976747312	0.393645
group489	30.0	0.11825511832291458	0.117485
group490	1.0	0.9719099818089563	0.972255
group491	22.0	0.25723745171961626	0.25675
group492	7.0	0.7648433959116149	0.76503
group493	6.0	0.8044216238535551	0.804835
group494	27.0	0.16037591799844517	0.159535
group495	31.0	0.10651119283690955	0.105985
group496	3.0	0.9140670752552578	0.91513
group497	22.0	0.25723745171961626	0.25675
group498	10.0	0.6433275825860071	0.64264
group499	11.0	0.6038466148581	0.604145
group500	12.0	0.5653582533820657	0.566045
group501	20.0	0.30647514252136204	0.30647
group502	30.0	0.11825511832291458	0.117485
group503	24.0	0.2142199819069697	0.21427
group504	12.0	0.5653582533820657	0.566045
group505	27.0	0.16037591799844517	0.159535
group506	9.0	0.6836220038774937	0.682675
group507	8.0	0.7243643916011879	0.723885
group508	13.0	0.5279943039329374	0.52847
group509	8.0	0.7243643916011879	0.723885
group510	17.0	0.3923616976747312	0.393645
group511	16.0	0.424103490620067	0.425265
group512	3.0	0.9140670752552578	0.91513
group513	16.0	0.424103490620067	0.425265
group514	2.0	0.9453709799996856	0.946045
group515	18.0	0.36220058434095553	0.36309
group516	1.0	0.9719099818089563	0.972255
group517	2.0	0.9453709799996856	0.946045
group518	5.0	0.8428593334324601	0.84352
group519	9.0	0.6836220038774937	0.682675
group520	15.0	0.4573510105445388	0.45821
group521	11.0	0.6038466148581	0.604145
group522	28.0	0.14512188443039384	0.14411
group523	1.0	0.9719099818089563	0.972255
group524	18.0	0.36220058434095553	0.36309
group525	7.0	0.7648433959116149	0.76503
group526	6.0	0.8044216238535551	0.804835
group527	12.0	0.5653582533820657	0.566045
group528	13.0	0.5279943039329374	0.52847
group529	8.0	0.7243643916011879	0.723885
group530	2.0	0.9453709799996856	0.946045
group531	3.0	0.9140670752552578	0.91513
group532	23.0	0.23499925231530389	0.235115
group533	17.0	0.3923616976747312	0.393645
group534	11.0	0.6038466148581	0.604145
group535	15.0	0.4573510105445388	0.45821
group536	6.0	0.8044216238535551	0.804835
group537	4.0	0.8795844428772457	0.88062
group538	15.0	0.4573510105445388	0.45821
group539	8.0	0.7243643916011879	0.723885
group540	0.0	0.9919081697437928	0.992045
group541	18.0	0.36220058434095553	0.36309
group542	21.0	0.28102709317650326	0.280445
group543	8.0	0.7243643916011879	0.723885
group544	3.0	0.9140670752552578	0.91513
group545	23.0	0.23499925231530389	0.235115
group546	19.0	0.33356472739058096	0.333895
group547	11.0	0.6038466148581	0.604145
group548	23.0	0.23499925231530389	0.235115
group549	16.0	0.424103490620067	0.425265
group550	10.0	0.6433275825860071	0.64264
group551	6.0	0.8044216238535551	0.804835
group552	18.0	0.36220058434095553	0.36309
group553	20.0	0.30647514252136204	0.30647
group554	16.0	0.424103490620067	0.425265
group555	19.0	0.33356472739058096	0.333895
group556	11.0	0.6038466148581	0.604145
group557	5.0	0.8428593334324601	0.84352
group558	10.0	0.6433275825860071	0.64264
group559	12.0	0.5653582533820657	0.566045
group560	19.0	0.33356472739058096	0.333895
group561	1.0	0.9719099818089563	0.972255
group562	3.0	0.9140670752552578	0.91513
group563	30.0	0.11825511832291458	0.117485
group564	6.0	0.8044216238535551	0.804835
group565	8.0	0.7243643916011879	0.723885
group566	14.0	0.49196771558901947	0.492535
group567	14.0	0.49196771558901947	0.492535
group568	11.0	0.6038466148581	0.604145
group569	13.0	0.5279943039329374	0.52847
group570	18.0	0.36220058434095553	0.36309
group571	8.0	0.7243643916011879	0.723885
group572	35.0	0.0690976241638293	0.068525
group573	15.0	0.4573510105445388	0.45821
group574	13.0	0.5279943039329374	0.52847
group575	6.0	0.8044216238535551	0.804835
group576	36.0	0.06180350391525779	0.061035
group577	6.0	0.8044216238535551	0.804835
group578	7.0	0.7648433959116149	0.76503
group579	23.0	0.23499925231530389	0.235115
group580	14.0	0.49196771558901947	0.492535
group581	5.0	0.8428593334324601	0.84352
group582	9.0	0.6836220038774937	0.682675
group583	22.0	0.25723745171961626	0.25675
group584	11.0	0.6038466148581	0.604145
group585	24.0	0.2142199819069697	0.21427
group586	7.0	0.7648433959116149	0.76503
group587	12.0	0.5653582533820657	0.566045
group588	7.0	0.7648433959116149	0.76503
group589	12.0	0.5653582533820657	0.566045
group590	1.0	0.9719099818089563	0.972255
group591	30.0	0.11825511832291458	0.117485
group592	13.0	0.5279943039329374	0.52847
group593	5.0	0.8428593334324601	0.84352
group594	2.0	0.9453709799996856	0.946045
group595	6.0	0.8044216238535551	0.804835
group596	3.0	0.9140670752552578	0.91513
group597	9.0	0.6836220038774937	0.682675
group598	22.0	0.25723745171961626	0.25675
group599	8.0	0.7243643916011879	0.723885
group600	8.0	0.7243643916011879	0.723885
group601	22.0	0.25723745171961626	0.25675
group602	21.0	0.28102709317650326	0.280445
group603	33.0	0.08601999050464941	0.08597
group604	39.0	0.043846971492951935	0.042885
group605	29.0	0.13110371501580342	0.13008
group606	14.0	0.49196771558901947	0.492535
group607	15.0	0.4573510105445388	0.45821
group608	17.0	0.3923616976747312	0.393645
group609	51.0	0.009961490628226736	0.00932
group610	9.0	0.6836220038774937	0.682675
group611	19.0	0.33356472739058096	0.333895
group612	23.0	0.23499925231530389	0.235115
group613	14.0	0.49196771558901947	0.492535
group614	8.0	0.7243643916011879	0.723885
group615	28.0	0.14512188443039384	0.14411
group616	14.0	0.49196771558901947	0.492535
group617	32.0	0.09578938789821767	0.095655
group618	6.0	0.8044216238535551	0.804835
group619	22.0	0.25723745171961626	0.25675
group620	18.0	0.36220058434095553	0.36309
group621	21.0	0.28102709317650326	0.280445
group622	35.0	0.0690976241638293	0.068525
group623	19.0	0.33356472739058096	0.333895
group624	5.0	0.8428593334324601	0.84352
group625	13.0	0.5279943039329374	0.52847
group626	22.0	0.25723745171961626	0.25675
group627	39.0	0.043846971492951935	0.042885
group628	3.0	0.9140670752552578	0.91513
group629	26.0	0.1769444473295978	0.17647
group630	11.0	0.6038466148581	0.604145
group631	19.0	0.33356472739058096	0.333895
group632	22.0	0.25723745171961626	0.25675
group633	14.0	0.49196771558901947	0.492535
group634	15.0	0.4573510105445388	0.45821
group635	9.0	0.6836220038774937	0.682675
group636	11.0	0.6038466148581	0.604145
group637	11.0	0.6038466148581	0.604145
group638	7.0	0.7648433959116149	0.76503
group639	37.0	0.05519652919204339	0.05429
group640	3.0	0.9140670752552578	0.91513
group641	1.0	0.9719099818089563	0.972255
group642	3.0	0.9140670752552578	0.91513
group643	9.0	0.6836220038774937	0.682675
group644	8.0	0.7243643916011879	0.723885
group645	14.0	0.49196771558901947	0.492535
group646	30.0	0.11825511832291458	0.117485
group647	4.0	0.8795844428772457	0.88062
group648	1.0	0.9719099818089563	0.972255
group649	8.0	0.7243643916011879	0.723885
group650	17.0	0.3923616976747312	0.393645
group651	44.0	0.024122555091524146	0.023455
group652	5.0	0.8428593334324601	0.84352
group653	13.0	0.5279943039329374	0.52847
group654	25.0	0.19487693965975528	0.194675
group655	9.0	0.6836220038774937	0.682675
group656	21.0	0.28102709317650326	0.280445
group657	19.0	0.33356472739058096	0.333895
group658	43.0	0.027251056241383798	0.026575
group659	13.0	0.5279943039329374	0.52847
group660	2.0	0.9453709799996856	0.946045
group661	2.0	0.9453709799996856	0.946045
group662	56.0	0.005136316269398207	0.00505
group663	26.0	0.1769444473295978	0.17647
group664	16.0	0.424103490620067	0.425265
group665	35.0	0.0690976241638293	0.068525
group666	0.0	0.9919081697437928	0.992045
group667	8.0	0.7243643916011879	0.723885
group668	4.0	0.8795844428772457	0.88062
