#1:ID	#2:NameGroupA	#3:NameGroupB	#4:p.value	#5:FDR	#6:relationType	#7:PFC	#8:id.first	#9:id.second	#10:groupSize.first	#11:groupSize.second	#12:groupLinkDegree.first	#13:groupLinkDegree.second	#14:expectedLinks	#15:sharedOriglinks	#16:sharedRndlinks	#17:randMax
134	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1314	0.526029	1.000000	+	0.993500	0	352	46	6	4970	233	1.760000	2	176	50
139	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1331	0.000000	0.000001	+	0.998714	0	371	46	5	4970	181	1.430000	14	143	43
145	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1351	0.578475	1.000000	+	0.999000	0	393	46	5	4970	96	0.860000	1	86	41
150	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1362	0.249825	1.000000	-	0.996500	0	405	46	6	4970	836	6.250000	4	625	87
153	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1367	0.003559	1.000000	-	0.997000	0	410	46	5	4970	1050	7.700000	1	770	52
157	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1380	0.000955	1.000000	+	0.998739	0	425	46	5	4970	1531	11.200000	23	1120	85
163	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP140	0.368208	1.000000	-	0.991000	0	447	46	7	4970	251	2.140000	1	214	77
170	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1419	0.098878	1.000000	-	0.993500	0	468	46	5	4970	733	5.300000	2	530	38
178	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1443	0.448448	1.000000	-	0.994200	0	495	46	5	4970	805	5.970000	5	597	71
186	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1459	0.668523	1.000000	-	0.994500	0	512	46	5	4970	260	2.030000	2	203	62
187	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1463	0.418834	1.000000	+	0.990000	0	517	46	5	4970	54	0.540000	1	54	37
201	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1498	0.157646	1.000000	+	0.996600	0	555	46	5	4970	2145	15.670000	20	1567	115
202	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1500	0.017033	1.000000	+	0.994000	0	559	46	6	4970	59	0.540000	3	54	31
206	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1523	0.034578	1.000000	-	0.991000	0	584	46	5	4970	661	5.140000	1	514	70
209	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1536	0.000134	0.457574	+	0.996909	0	598	46	5	4970	345	2.780000	11	278	54
211	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1542	0.538881	1.000000	+	0.996667	0	605	46	5	4970	395	2.830000	3	283	62
213	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1544	0.035289	1.000000	-	0.996000	0	607	46	6	4970	1457	10.980000	5	1098	89
217	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1554	0.012526	1.000000	+	0.994333	0	618	46	5	4970	237	1.890000	6	189	46
218	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1560	0.337211	1.000000	+	0.993000	0	625	46	5	4970	65	0.410000	1	41	24
223	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1572	0.140380	1.000000	-	0.997500	0	638	46	7	4970	1066	7.350000	4	735	87
227	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1578	0.231037	1.000000	-	0.996000	0	644	46	5	4970	1331	9.820000	7	982	83
231	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1588	0.029374	1.000000	-	0.997000	0	655	46	5	4970	725	5.330000	1	533	59
239	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1608	0.422936	1.000000	+	0.991333	0	678	46	5	4970	372	2.370000	3	237	53
240	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1610	0.538098	1.000000	+	0.994000	0	681	46	5	4970	284	1.800000	2	180	27
241	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1617	0.612420	1.000000	-	0.997000	0	688	46	5	4970	734	5.020000	5	502	78
244	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1629	0.000001	0.003895	+	0.998727	0	701	46	5	4970	221	1.650000	11	165	39
255	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1682	0.558487	1.000000	-	0.999625	0	760	46	5	4970	1124	8.240000	8	824	75
257	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1686	0.155878	1.000000	+	0.999800	0	764	46	5	4970	423	2.830000	5	283	63
260	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1694	0.052516	1.000000	+	0.998667	0	773	46	5	4970	325	2.660000	6	266	73
262	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP170	0.149163	1.000000	+	0.996333	0	780	46	5	4970	153	1.330000	3	133	34
263	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1700	0.158686	1.000000	+	0.994000	0	781	46	5	4970	333	2.090000	4	209	39
265	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1709	0.590828	1.000000	+	0.992000	0	790	46	6	4970	110	0.890000	1	89	34
268	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1716	0.468237	1.000000	-	0.996333	0	798	46	6	4970	507	3.820000	3	382	52
272	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP173	0.213838	1.000000	+	0.997800	0	813	46	5	4970	1001	7.440000	10	744	57
278	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1746	0.071902	1.000000	+	0.998455	0	831	46	6	4970	897	6.630000	11	663	87
281	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1765	0.240611	1.000000	+	0.997368	0	852	46	5	4970	2050	15.870000	19	1587	84
285	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP177	0.255735	1.000000	+	0.996333	0	857	46	5	4970	200	1.750000	3	175	28
287	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1771	0.026245	1.000000	+	0.997600	0	859	46	5	4970	702	4.880000	10	488	73
289	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1779	0.139032	1.000000	-	0.995833	0	867	46	5	4970	1282	9.780000	6	978	96
292	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1783	0.073856	1.000000	+	0.994500	0	872	46	5	4970	413	2.910000	6	291	57
297	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1797	0.000477	1.000000	+	0.998400	0	887	46	5	4970	390	2.720000	10	272	54
298	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1799	0.000000	0.000210	+	0.998565	0	889	46	5	4970	867	6.050000	23	605	101
302	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1807	0.579861	1.000000	-	0.993000	0	899	46	5	4970	470	3.300000	3	330	65
313	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1834	0.034363	1.000000	+	0.998143	0	929	46	6	4970	1093	8.080000	14	808	96
324	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1857	0.129340	1.000000	-	0.995300	0	954	46	5	4970	2008	14.630000	10	1463	115
327	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1871	0.527723	1.000000	-	0.996000	0	970	46	5	4970	332	2.560000	2	256	50
328	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1872	0.016834	1.000000	-	0.995000	0	971	46	6	4970	1056	7.660000	2	766	68
330	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1878	0.000025	0.084300	+	0.997500	0	977	46	5	4970	451	3.670000	14	367	90
331	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1880	0.006560	1.000000	+	0.998727	0	980	46	5	4970	1569	12.330000	22	1233	107
332	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1881	0.168317	1.000000	+	0.994667	0	981	46	6	4970	168	1.410000	3	141	42
334	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1899	0.109727	1.000000	-	0.997000	0	1000	46	5	4970	500	3.750000	1	375	55
335	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1900	0.136936	1.000000	-	0.997000	0	1003	46	5	4970	665	4.830000	2	483	44
339	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1916	0.079978	1.000000	-	0.990000	0	1020	46	5	4970	547	4.140000	1	414	41
341	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1920	0.525423	1.000000	-	0.994250	0	1025	46	5	4970	595	4.530000	4	453	72
350	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1949	0.543185	1.000000	+	1.000000	0	1056	46	5	4970	88	0.780000	1	78	40
355	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1960	0.180271	1.000000	-	0.995000	0	1069	46	6	4970	478	3.120000	1	312	49
363	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1979	0.013324	1.000000	-	0.997000	0	1089	46	5	4970	1916	13.860000	6	1386	116
367	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1989	0.604685	1.000000	-	0.994333	0	1100	46	6	4970	780	6.010000	6	601	76
369	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1999	0.000161	0.549470	+	0.998636	0	1111	46	5	4970	378	2.840000	11	284	62
370	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2003	0.001072	1.000000	+	0.996750	0	1118	46	6	4970	1257	9.180000	20	918	75
377	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP202	0.029966	1.000000	-	0.999500	0	1136	46	5	4970	948	6.910000	2	691	48
378	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2021	0.126044	1.000000	+	0.994400	0	1138	46	7	4970	392	2.630000	5	263	62
382	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2025	0.272178	1.000000	-	0.996750	0	1142	46	5	4970	839	6.070000	4	607	58
387	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2033	0.547370	1.000000	+	0.999000	0	1151	46	5	4970	117	0.790000	1	79	34
389	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2041	0.000936	1.000000	+	0.997444	0	1160	46	7	4970	1062	7.730000	18	773	141
390	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2042	0.305690	1.000000	-	0.994200	0	1161	46	7	4970	949	6.940000	5	694	66
394	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2053	0.022634	1.000000	+	0.996000	0	1173	46	5	4970	208	1.590000	5	159	60
396	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2059	0.003194	1.000000	-	0.997000	0	1179	46	5	4970	1314	9.660000	2	966	83
400	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2068	0.473674	1.000000	+	0.998167	0	1189	46	6	4970	811	5.510000	6	551	64
403	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2073	0.449419	1.000000	+	0.998500	0	1195	46	5	4970	269	1.520000	2	152	33
404	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2076	0.370054	1.000000	+	0.997000	0	1198	46	5	4970	157	1.290000	2	129	48
406	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2081	0.133726	1.000000	-	0.997571	0	1204	46	5	4970	1419	11.050000	7	1105	104
409	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2090	0.048063	1.000000	-	0.997500	0	1214	46	5	4970	864	6.290000	2	629	87
410	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2097	0.075543	1.000000	-	0.994000	0	1221	46	5	4970	927	7.060000	3	706	81
418	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP211	0.000198	0.674848	+	0.998500	0	1236	46	5	4970	306	2.430000	10	243	53
419	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2110	0.341319	1.000000	+	0.990000	0	1237	46	7	4970	137	1.210000	2	121	49
423	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2114	0.394215	1.000000	+	0.992000	0	1241	46	5	4970	102	0.500000	1	50	24
431	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2141	0.013793	1.000000	-	0.995000	0	1271	46	6	4970	1102	7.910000	2	791	95
432	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2142	0.443541	1.000000	+	0.995800	0	1272	46	7	4970	595	4.370000	5	437	74
435	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2148	0.240639	1.000000	-	0.995750	0	1278	46	5	4970	858	6.320000	4	632	104
441	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2166	0.011195	1.000000	+	0.996500	0	1298	46	5	4970	29	0.160000	2	16	9
444	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2174	0.121389	1.000000	+	0.997500	0	1307	46	5	4970	78	0.600000	2	60	31
453	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2197	0.547535	1.000000	+	0.995000	0	1332	46	5	4970	103	0.790000	1	79	47
456	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2200	0.159929	1.000000	+	0.997308	0	1337	46	5	4970	1282	9.510000	13	951	87
457	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2201	0.168894	1.000000	+	0.997875	0	1338	46	5	4970	644	5.340000	8	534	51
461	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2221	0.105337	1.000000	-	0.998000	0	1360	46	5	4970	735	5.210000	2	521	57
465	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP224	0.219743	1.000000	-	0.997400	0	1380	46	5	4970	1008	7.660000	5	766	69
470	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2255	0.000103	0.351807	+	0.997444	0	1397	46	5	4970	252	1.810000	9	181	48
479	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2277	0.002535	1.000000	+	0.998409	0	1421	46	5	4970	1519	11.360000	22	1136	95
481	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2279	0.221942	1.000000	-	0.992000	0	1423	46	7	4970	607	4.100000	2	410	79
483	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2286	0.050243	1.000000	-	0.994000	0	1431	46	6	4970	1062	7.680000	3	768	79
489	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2300	0.665975	1.000000	-	0.999000	0	1448	46	5	4970	152	1.190000	1	119	28
493	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2315	0.126228	1.000000	+	0.993500	0	1464	46	5	4970	246	1.910000	4	191	27
497	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2325	0.328471	1.000000	-	0.998000	0	1475	46	6	4970	466	3.450000	2	345	81
500	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2331	0.121124	1.000000	+	0.997842	0	1482	46	6	4970	1939	14.170000	19	1417	115
502	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2340	0.189347	1.000000	-	0.996000	0	1492	46	5	4970	732	5.580000	3	558	109
506	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2355	0.066105	1.000000	-	0.994000	0	1508	46	5	4970	754	5.860000	2	586	64
508	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2360	0.511007	1.000000	+	0.997571	0	1514	46	5	4970	875	6.730000	7	673	43
509	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2364	0.218818	1.000000	+	0.994333	0	1518	46	6	4970	200	1.610000	3	161	61
511	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2369	0.365765	1.000000	-	0.993000	0	1523	46	7	4970	268	2.150000	1	215	45
514	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2376	0.158722	1.000000	-	0.993333	0	1531	46	5	4970	788	5.880000	3	588	75
524	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP2402	0.000000	0.000003	+	0.998609	0	1561	46	6	4970	707	4.720000	23	472	78
530	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP241	0.006388	1.000000	-	0.995750	0	1569	46	5	4970	1595	12.030000	4	1203	79
